Truck_ID,Age,Total_KM_Driven,Fuel_Efficiency,Battery_Health,Service_Delay,Engine_Temp,Repair_Count,Status
T00235,12,108911,3.28,62.5,11,98.5,6,High Risk
T00236,8,97162,5.31,77.6,21,95.2,4,Truck Healthy
T00237,3,44886,7.0,93.5,54,81.1,0,Service Required Soon
T00238,5,77597,5.47,84.3,55,91.3,1,Service Required Soon
T00239,9,114734,4.74,77.9,48,89.9,5,High Risk
T00240,14,147102,3.87,59.8,46,98.6,4,High Risk
T00241,13,190572,4.05,65.6,50,98.5,1,High Risk
T00242,3,41416,6.92,88.9,4,85.7,1,Truck Healthy
T00243,10,124972,4.38,69.7,32,89.9,5,High Risk
T00244,6,84091,4.77,82.7,14,90.6,3,Truck Healthy
T00245,11,128148,4.28,67.9,13,99.8,7,High Risk
T00246,14,151016,3.11,58.3,53,101.1,2,High Risk
T00247,12,171803,3.66,65.1,58,99.7,5,High Risk
T00248,10,110873,4.48,73.9,55,99.1,2,High Risk
T00249,10,122189,4.76,74.6,43,103.3,3,High Risk
T00250,14,139909,3.84,55.2,31,100.7,2,High Risk
T00251,0,7847,7.0,97.5,54,83.0,0,Service Required Soon
T00252,13,168400,4.04,59.0,25,98.0,4,High Risk
T00253,13,120421,4.29,57.1,7,99.7,5,High Risk
T00254,0,2751,6.88,95.7,42,80.8,0,Service Required Soon
T00255,8,86226,5.7,78.2,51,93.2,2,Service Required Soon
T00256,13,133140,3.59,57.6,28,102.3,0,High Risk
T00257,0,3998,7.0,100.0,14,84.7,0,Truck Healthy
T00258,10,154910,4.51,67.8,56,100.6,4,High Risk
T00259,14,152407,4.07,60.0,21,94.9,5,High Risk
T00260,12,139711,3.61,68.3,27,94.6,5,High Risk
T00261,4,55216,5.94,85.9,0,79.6,0,Truck Healthy
T00262,8,98958,4.84,77.3,25,97.0,1,Truck Healthy
T00263,10,112909,4.61,67.7,12,88.1,3,High Risk
T00264,10,93230,4.55,67.2,29,94.7,1,High Risk
T00265,0,5528,6.69,96.1,55,83.4,0,Service Required Soon
T00266,7,86909,4.82,81.6,44,87.7,2,Service Required Soon
T00267,12,149048,4.28,65.6,5,92.5,8,High Risk
T00268,5,58665,5.65,89.0,57,91.9,0,Service Required Soon
T00269,4,59914,6.82,87.7,11,81.5,0,Truck Healthy
T00270,4,40778,6.17,84.1,6,86.1,1,Truck Healthy
T00271,9,89567,4.82,71.9,34,96.5,2,Truck Healthy
T00272,11,107288,4.41,70.7,54,93.9,2,High Risk
T00273,13,161792,4.04,60.1,1,104.6,5,High Risk
T00274,7,80193,5.39,81.3,52,89.0,3,Service Required Soon
T00275,10,129993,4.22,69.2,1,95.0,6,High Risk
T00276,7,81845,4.4,77.4,10,92.1,2,Truck Healthy
T00277,13,150575,3.93,65.8,18,102.2,4,High Risk
T00278,0,3424,7.0,100.0,10,75.5,0,Truck Healthy
T00279,8,115370,5.18,72.5,23,91.9,0,Truck Healthy
T00280,11,162549,3.95,70.4,24,99.0,2,High Risk
T00281,7,79568,5.43,78.4,2,85.2,1,Truck Healthy
T00282,6,88088,5.87,86.3,15,92.2,2,Truck Healthy
T00283,7,71898,4.77,74.7,24,92.7,2,Truck Healthy
T00284,3,31479,6.65,95.5,56,85.1,1,Service Required Soon
T00285,9,138060,4.59,72.9,57,89.3,1,High Risk
T00286,12,108133,4.17,60.8,17,97.1,2,High Risk
T00287,11,94444,4.55,68.1,45,90.8,2,High Risk
T00288,14,202582,3.63,61.4,32,103.0,4,High Risk
T00289,5,53389,5.77,85.3,49,89.6,3,Service Required Soon
T00290,11,109168,4.74,65.3,31,100.3,2,High Risk
T00291,12,174102,4.26,64.1,53,97.4,3,High Risk
T00292,2,26594,6.79,97.8,17,81.1,2,Truck Healthy
T00293,1,18412,6.82,100.0,57,83.7,1,Service Required Soon
T00294,3,48424,6.12,95.1,42,81.6,1,Service Required Soon
T00295,7,90502,5.43,74.3,0,89.6,1,Truck Healthy
T00296,3,47664,5.67,91.1,59,83.6,1,Service Required Soon
T00297,0,2489,6.91,100.0,35,73.7,0,Service Required Soon
T00298,14,160168,3.45,54.7,7,104.4,4,High Risk
T00299,10,131809,3.99,70.6,49,93.4,2,High Risk
T00300,12,157365,3.57,63.2,40,95.2,5,High Risk
T00301,5,63927,6.29,82.8,45,84.1,1,Service Required Soon
T00302,12,140825,4.49,60.5,39,96.1,5,High Risk
T00303,0,6878,6.45,100.0,29,77.8,0,Truck Healthy
T00304,7,79379,5.72,81.9,16,85.0,0,Truck Healthy
T00305,5,55761,5.7,83.5,0,92.2,2,Service Required Soon
T00306,5,62761,6.31,83.7,49,90.6,1,Service Required Soon
T00307,11,158999,4.12,70.0,33,97.5,1,High Risk
T00308,14,143279,3.68,53.5,41,101.6,6,High Risk
T00309,3,39345,6.26,91.5,30,84.2,1,High Risk
T00310,13,109944,3.58,59.1,13,98.2,2,High Risk
T00311,0,9371,7.0,100.0,50,80.2,0,Service Required Soon
T00312,1,18406,6.34,98.4,41,82.9,0,Service Required Soon
T00313,3,36047,6.36,87.5,0,83.8,1,Truck Healthy
T00314,6,73271,5.84,77.8,7,89.1,0,Truck Healthy
T00315,2,23950,6.43,98.7,52,89.6,2,Service Required Soon
T00316,9,93487,4.69,68.7,46,90.3,4,High Risk
T00317,11,150361,3.28,71.7,23,94.6,4,High Risk
T00318,0,7732,6.59,100.0,9,83.2,0,Truck Healthy
T00319,4,59105,5.91,83.4,43,90.8,3,Service Required Soon
T00320,2,29101,6.68,95.6,51,81.5,1,Service Required Soon
T00321,11,108952,4.5,63.1,15,93.7,6,High Risk
T00322,13,177097,3.93,61.5,17,101.2,1,High Risk
T00323,9,114751,4.82,76.4,22,100.9,3,High Risk
T00324,10,91181,4.58,65.4,14,101.1,2,High Risk
T00325,1,18132,6.95,92.7,1,82.9,2,Truck Healthy
T00326,2,24400,6.56,94.0,44,85.6,0,Service Required Soon
T00327,1,14791,7.0,100.0,37,78.8,0,Service Required Soon
T00328,6,66312,6.21,85.3,25,85.8,3,Truck Healthy
T00329,2,30182,6.4,91.8,31,82.2,3,Service Required Soon
T00330,5,57213,5.57,84.9,27,87.0,2,Truck Healthy
T00331,1,22597,6.39,93.1,4,84.7,0,Truck Healthy
T00332,1,19068,5.66,97.5,56,83.3,0,Service Required Soon
T00333,9,97621,4.44,71.0,15,94.3,1,Service Required Soon
T00334,10,137288,4.58,74.4,57,96.0,3,High Risk
T00335,2,28358,7.0,93.4,51,76.1,2,Service Required Soon
T00336,6,58821,6.02,85.5,26,83.8,4,Truck Healthy
T00337,8,112973,5.35,80.2,59,90.3,1,Service Required Soon
T00338,14,147621,2.98,59.3,50,105.4,8,High Risk
T00339,1,14048,7.0,98.8,4,79.6,1,Truck Healthy
T00340,9,84524,4.78,74.4,1,95.3,2,Service Required Soon
T00341,12,175208,4.0,59.9,40,96.6,2,High Risk
T00342,1,14788,7.0,98.6,6,81.4,0,Truck Healthy
T00343,7,87835,5.03,75.7,43,88.8,0,Service Required Soon
T00344,9,97396,4.8,77.2,32,97.2,5,High Risk
T00345,7,76385,5.02,77.2,27,96.0,6,Truck Healthy
T00346,6,72703,5.76,85.8,50,88.7,2,Service Required Soon
T00347,10,157787,4.69,67.2,31,92.6,2,High Risk
T00348,5,65964,6.37,89.3,7,84.7,0,Truck Healthy
T00349,9,88200,4.71,77.0,11,95.1,3,Service Required Soon
T00350,8,89135,4.68,79.7,55,96.9,4,Service Required Soon
T00351,4,53129,5.9,87.2,5,86.8,1,Truck Healthy
T00352,12,173798,4.42,65.3,33,98.9,5,High Risk
T00353,3,38537,5.98,90.0,57,83.8,1,Service Required Soon
T00354,3,44373,5.38,93.7,21,86.9,0,Truck Healthy
T00355,7,92923,4.69,83.4,25,88.9,3,Truck Healthy
T00356,14,144464,4.44,59.5,58,94.4,5,High Risk
T00357,4,54751,6.38,86.9,54,84.1,0,Service Required Soon
T00358,5,74864,5.63,80.7,16,88.9,3,Truck Healthy
T00359,0,1923,6.6,100.0,38,80.3,0,Service Required Soon
T00360,7,63245,5.69,80.1,56,89.7,1,Service Required Soon
T00361,7,70209,5.11,77.1,50,86.2,2,Service Required Soon
T00362,8,117528,5.14,76.6,58,95.0,2,Service Required Soon
T00363,7,110217,5.08,77.8,25,90.3,0,Truck Healthy
T00364,0,5419,6.43,100.0,47,83.4,0,Service Required Soon
T00365,11,127737,3.84,66.0,26,93.2,6,High Risk
T00366,1,12097,7.0,97.1,59,81.1,0,Service Required Soon
T00367,8,71216,4.61,76.3,44,90.6,3,Service Required Soon
T00368,2,21398,6.66,96.6,9,84.5,1,Truck Healthy
T00369,10,102045,4.97,73.9,26,95.7,6,Service Required Soon
T00370,9,87881,4.3,74.5,12,92.2,2,Service Required Soon
T00371,6,91523,5.68,78.9,20,91.8,1,Truck Healthy
T00372,9,115840,4.31,73.0,11,95.6,4,Service Required Soon
T00373,5,77575,4.92,81.7,56,87.1,2,Service Required Soon
T00374,10,115141,4.47,68.2,4,93.2,1,High Risk
T00375,13,149582,3.24,64.5,48,98.1,2,High Risk
T00376,4,67731,5.6,88.9,10,89.8,1,Truck Healthy
T00377,2,24233,6.27,90.7,37,79.1,3,Service Required Soon
T00378,12,164061,3.6,63.6,18,105.5,6,High Risk
T00379,11,129652,4.1,70.1,4,96.0,3,Service Required Soon
T00380,3,26925,5.99,87.5,19,85.4,1,Truck Healthy
T00381,5,62198,6.81,84.1,18,82.9,0,Truck Healthy
T00382,10,112875,4.6,68.1,27,89.9,5,High Risk
T00383,5,55713,5.25,86.7,10,86.8,3,Truck Healthy
T00384,2,26881,6.43,93.9,27,86.3,0,Truck Healthy
T00385,13,174991,3.78,58.7,37,103.7,7,High Risk
T00386,5,73788,4.83,89.8,0,85.4,0,Truck Healthy
T00387,7,65629,6.07,79.4,20,92.5,2,Truck Healthy
T00388,6,81197,4.83,80.3,11,92.9,3,Truck Healthy
T00389,0,8095,6.0,100.0,12,76.6,0,Truck Healthy
T00390,11,149364,4.43,68.6,30,101.6,2,High Risk
T00391,0,6598,6.69,98.9,48,82.5,0,Service Required Soon
T00392,7,89195,5.5,82.9,36,84.6,1,Service Required Soon
T00393,10,124804,4.6,71.2,8,96.1,0,Service Required Soon
T00394,14,127005,3.53,62.3,19,97.7,4,High Risk
T00395,8,114934,5.48,74.5,27,91.6,0,Truck Healthy
T00396,7,67264,5.17,76.4,7,91.1,1,Service Required Soon
T00397,3,47402,5.67,91.6,41,81.7,0,Service Required Soon
T00398,11,101904,3.78,68.7,23,97.0,1,High Risk
T00399,10,151687,4.93,69.4,30,88.3,4,Truck Healthy
T00400,3,31916,6.0,92.2,26,84.9,1,Truck Healthy
T00401,9,88958,4.43,68.6,18,88.8,3,High Risk
T00402,2,33416,5.8,97.5,31,83.2,0,Service Required Soon
T00403,10,139337,3.89,65.0,43,90.3,2,High Risk
T00404,6,64339,5.02,81.9,12,91.3,2,Truck Healthy
T00405,13,140351,4.11,57.2,24,98.5,7,High Risk
T00406,0,5125,6.78,100.0,37,80.6,0,Service Required Soon
T00407,13,139006,3.11,61.0,37,103.3,1,High Risk
T00408,11,103673,4.03,70.1,5,97.0,1,Service Required Soon
T00409,13,132688,4.48,63.8,40,96.5,2,High Risk
T00410,0,1910,7.0,100.0,39,81.3,0,Service Required Soon
T00411,9,133659,4.86,74.5,3,96.4,2,Service Required Soon
T00412,10,128116,4.88,68.7,14,92.2,4,High Risk
T00413,1,11739,7.0,93.4,48,82.4,0,Service Required Soon
T00414,3,49317,6.28,87.2,51,87.8,0,Service Required Soon
T00415,0,8148,7.0,98.4,15,84.0,0,Truck Healthy
T00416,4,53086,6.14,89.9,7,84.7,2,Truck Healthy
T00417,13,143127,4.01,57.3,2,97.8,1,High Risk
T00418,1,16228,6.61,100.0,4,84.4,0,Truck Healthy
T00419,4,34287,6.25,85.7,52,87.4,0,Service Required Soon
T00420,10,103594,4.11,74.2,41,95.6,2,High Risk
T00421,14,166620,3.49,60.5,12,94.7,4,High Risk
T00422,4,64526,6.23,88.8,53,87.7,1,Service Required Soon
T00423,9,79821,5.18,73.4,9,99.9,1,Service Required Soon
T00424,5,78219,5.64,85.6,42,89.2,1,Service Required Soon
T00425,13,179625,4.01,63.0,15,99.3,7,High Risk
T00426,10,89934,4.57,74.1,42,93.2,3,High Risk
T00427,8,120034,4.73,75.4,58,96.2,1,Service Required Soon
T00428,2,28555,6.1,94.2,49,85.5,0,Service Required Soon
T00429,14,149118,3.48,57.0,2,98.9,2,High Risk
T00430,2,20314,6.28,98.5,33,85.5,0,Service Required Soon
T00431,2,28934,6.61,90.0,55,81.7,0,Service Required Soon
T00432,11,159134,4.62,69.6,48,99.0,5,High Risk
T00433,13,146003,3.46,63.1,12,102.3,5,High Risk
T00434,1,14338,6.69,96.1,16,78.0,1,Truck Healthy
T00435,7,95600,5.24,79.3,27,93.5,0,Truck Healthy
T00436,10,125960,4.3,72.3,12,95.9,3,Service Required Soon
